IATA,ICAO
BIM,OABN
BST,OABT
BPM,OAIX
CCN,OACC
FBD,OAFZ
FAH,OAFR
GRG,OAGZ
HEA,OAHR
JAA,OAJL
KBL,OAKB
KDH,OAKN
KHT,OAKS
KWH,OAHN
UND,OAUZ
MMZ,OAMN
MZR,OAMS
SGA,OASN
ZAJ,OAZJ
TIA,LATI
AZR,DAUA
ALG,DAAG
AAE,DABB
BJA,DAAE
BMW,DATM
BUJ,DAAD
CZL,DABC
DJG,DAAJ
ELG,DAUE
ELU,DAUO
GHA,DAUG
HME,DAUH
INF,DATG
INZ,DAUI
GJL,DAAV
ORN,DAOO
OGX,DAUU
TMR,DAAT
TEE,DABS
TID,DAOB
TMX,DAUT
TLM,DAON
TGR,DAUK
IAM,DAUZ
AZZ,FNAM
BUG,FNBG
CAB,FNCA
NOV,FNHU
SVP,FNKU
LAD,FNLU
SDD,FNUB
LUO,FNUE
SSY,FNBC
MEG,FNMA
SPP,FNME
NGV,FNGI
ARZ,FNZE
GXG,FNNG
PBN,FNPA
VHC,FNSA
SZA,FNSO
UGO,FNUG
CEO,FNWK
XGN,FNXA
AXA,TQPF
BBQ,TAPH
ANU,TAPA
ARR,SAVR
BHI,SAZB
BRC,SAZS
AEP,SABE
CTC,SANC
CRD,SAVC
COR,SACO
EQS,SAVE
EZE,SAEZ
FMA,SARF
GPO,SAZG
IRJ,SANL
LGS,SAMM
MDQ,SAZM
MDZ,SAME
PRA,SAAP
PSS,SARP
IGR,SARI
PMY,SAVY
RCQ,SATR
RES,SARE
RCU,SAOC
RGL,SAWG
RGA,SAWE
ROS,SAAR
SLA,SASA
FDO,SADF
UAQ,SANU
LUQ,SAOU
AFA,SAMR
RSA,SAZR
SDE,SANE
TUC,SANT
USH,SAWH
VDM,SAVV
VME,SAOR
EVN,UGEE
AUA,TNCA
ADL,YPAD
ALH,YABA
ABX,YMAY
ASP,YBAS
ABH,YAPH
ARY,YARA
ARM,YARM
AVV,YAVV
BSJ,YBNS
BNK,YBNA
BZD,YBRN
BWU,YSBK
BHS,YBTH
BRT,YBTI
BEU,YBIE
BLN,YBLA
BKQ,YBCK
BLT,YBTR
BQL,YBOU
BRK,YBKE
BWQ,YBRW
MHU,YHOT
BNE,YBBN
BHQ,YBHI
BME,YBRM
BDB,YBUD
BWT,YWYY
BQB,YBLN
CNS,YBCS
HBA,YMHB
CDU,YSCN
CBR,YSCB
CVQ,YCAR
CED,YCDU
CTL,YBCV
CCL,YCCA
XCH,YPXM
CMQ,YCMT
CVC,YCEE
CNJ,YCCY
CAZ,YCBA
CCK,YPCC
CUQ,YCOE
CFS,YSCH
CRB,YCBR
CPD,YCBP
OOL,YBCG
OOM,YCOM
COJ,YCBB
CNB,YCNM
CMD,YCTM
CWW,YCOR
CYG,YCRG
CWT,YCWR
CKI,YCKI
CUY,YCUE
DRW,YPDN
DNO,YDLQ
DRB,YDBY
DPO,YDPO
DRN,YDBI
DBO,YSDU
DYA,YDYS
ECH,YECH
ELC,YELD
EMD,YEML
EPR,YESP
MEB,YMEN
LEA,YPLM
FIZ,YFTZ
FLS,YFLI
FRB,YFBS
FOS,YFRT
GET,YGEL
GLT,YGLA
GLI,YGLI
GUL,YGLB
GFN,YGFN
GFF,YGTH
GTE,YGTE
GUH,YGDH
HCQ,YHLC
HLT,YHML
HTI,YBHM
HXX,YHAY
HVB,YHBA
HTU,YHPN
HID,YHID
HSM,YHSM
IVR,YIVL
JAD,YPJT
KGI,YPKG
KTA,YPKA
KRB,YKMB
KPS,YKMP
KRA,YKER
KNS,YKII
KGY,YKRY
KGC,YKSC
KWM,YKOW
KNX,YPKU
LST,YMLT
LGH,YLEC
LER,YLST
LNO,YLEO
LHG,YLRD
LSY,YLIS
IRG,YLHR
LRE,YLRE
LDH,YLHI
MKY,YBMK
XMC,YMCO
MNG,YMGD
MRG,YMBA
MCY,YBMC
SYD,YSSY
MKR,YMEK
GPN,YGPT
SNB,YSNB
MIM,YMER
MQL,YMIA
MBW,YMMB
MOV,YMRB
MRZ,YMOR
MYA,YMRY
LTB,YLTV
MGB,YMTG
ISA,YBMA
WME,YMNE
MMG,YMOG
DGE,YMDG
NAA,YNBR
NRA,YNAR
QRM,YNRM
NTL,YWLM
ZNE,YNWN
GOV,YPGV
NLK,YSNF
NTN,YNTN
OAG,YORG
RBS,YORB
PBO,YPBO
PKE,YPKS
PUG,YPAG
PHE,YPPD
PKT,YPKT
PLO,YPLC
PQQ,YPMQ
PPI,YPIR
PTJ,YPOD
PPP,YBPN
ULP,YQLP
PER,YPPH
RCL,YRED
RMK,YREN
RBC,YROI
ROK,YBRK
RMA,YROM
RPM,YNGU
RTS,YRTI
SGO,YSGE
SXE,YWSL
SHT,YSHT
SIO,YSMI
SHQ,YSPT
HLS,YSTH
SWC,YSWL
SRN,YSRN
SWH,YSWH
TMW,YSTW
TRO,YTRE
XTO,YTAM
TEM,YTEM
TCA,YTNK
THG,YTNG
XTG,YTGM
TYB,YTIB
TWB,YTWB
TSV,YBTL
MEL,YMML
TUM,YTMU
WGA,YSWG
WGE,YWLG
WGT,YWGT
WKB,YWKB
QRR,YWRN
WEI,YBWP
WWA,YWWL
WYA,YWHA
WUN,YWLU
WNR,YWDH
WIN,YWTN
WOL,YWOL
NGA,YYNG
AYQ,YAYE
GRZ,LOWG
LNZ,LOWL
INN,LOWI
KLU,LOWK
SZG,LOWS
VIE,LOWW
BAK,UBBB
KVD,UBBG
IATA,ICAO
MAY,MYAB
SAQ,MYAN
ASD,MYAF
ATC,MYCA
CCZ,MYBC
ZSA,MYSM
CRI,MYCI
COX,MYAK
LGI,MYLD
FPO,MYGF
GHB,MYEM
GGT,MYEF
GHC,MYBG
SML,MYLS
MHH,MYAM
IGA,MYIG
MYG,MYMM
NAS,MYNN
CAT,MYCB
NMC,MYEN
ELH,MYEH
PID,MYPI
RSD,MYER
BIM,MYBS
AXP,MYAP
TYM,MYES
TCB,MYAT
BAH,OBBI
BZL,VGBR
CGP,VGEG
CLA,VGCM
CXB,VGCB
DAC,VGHS
JSR,VGJR
RJH,VGRJ
SPD,VGSD
ZYL,VGSY
TKR,VGSG
BGI,TBPB
BQT,UMBB
GME,UMGG
GNA,UMMG
MHP,UMMM
MSQ,UMMS
VTB,UMII
ANR,EBAW
BRU,EBBR
CRL,EBCI
KJK,EBKT
LGG,EBLG
OST,EBOS
BZE,MZBZ
COO,DBBB
KDC,DBBK
NAE,DBBN
PKO,DBBP
BDA,TXKF
PBH,VQPR
APB,SLAP
BJO,SLBJ
CAM,SLCA
CIJ,SLCO
CBB,SLCB
CEP,SLCP
GYA,SLGY
LPB,SLLP
MGD,SLMG
MHW,SLAG
ORU,SLOR
PSZ,SLPS
REY,SLRY
RIB,SLRI
RBO,SLRB
RBQ,SLRQ
SRJ,SLSB
SNM,SLSM
SNG,SLSI
SJV,SLJV
SJB,SLJO
SRD,SLRA
SRZ,SLET
VVI,SLVR
SRE,SLSU
TJA,SLTJ
TDD,SLTR
VAH,SLVG
VLM,SLVM
BYC,SLYA
BNX,LQBK
OMO,LQMO
SJJ,LQSA
TZL,LQTZ
FRW,FBFT
